rank,country,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption,score
56,Panama,1.411,1.291,0.851,0.511,0.131,0.151,5.791
57,Paraguay,1.171,1.301,0.821,0.531,0.181,0.141,5.771
58,Peru,1.241,1.271,0.821,0.481,0.121,0.121,5.751
59,Bolivia,1.071,1.261,0.781,0.471,0.131,0.111,5.731
60,Nicaragua,1.011,1.281,0.801,0.441,0.121,0.101,5.711
61,Vietnam,1.271,1.271,0.821,0.561,0.141,0.191,5.691
62,Philippines,1.121,1.261,0.791,0.541,0.181,0.151,5.671
63,Indonesia,1.241,1.251,0.791,0.551,0.191,0.161,5.651
64,Honduras,0.981,1.241,0.791,0.461,0.121,0.101,5.631
65,Mongolia,1.271,1.261,0.761,0.491,0.231,0.141,5.611
66,Kyrgyzstan,0.871,1.251,0.741,0.481,0.151,0.101,5.591
67,Tajikistan,0.751,1.241,0.731,0.491,0.161,0.121,5.571
68,Morocco,1.121,1.201,0.771,0.481,0.081,0.151,5.551
69,India,1.041,1.191,0.771,0.541,0.191,0.181,5.531
70,Nepal,0.751,1.221,0.751,0.531,0.281,0.111,5.511
71,Pakistan,0.921,1.181,0.731,0.481,0.171,0.111,5.491
72,Bangladesh,0.901,1.171,0.751,0.521,0.181,0.111,5.471
73,Sri Lanka,1.041,1.201,0.821,0.501,0.171,0.121,5.451
74,Myanmar,0.801,1.181,0.741,0.431,0.221,0.101,5.431
75,Cambodia,0.851,1.171,0.741,0.541,0.301,0.121,5.411
76,Laos,0.921,1.161,0.741,0.531,0.251,0.111,5.391
77,Kenya,0.761,1.141,0.691,0.521,0.221,0.131,5.371
78,Ghana,0.881,1.131,0.691,0.511,0.201,0.121,5.351
79,Nigeria,0.781,1.121,0.651,0.491,0.181,0.101,5.331
80,Ivory Coast,0.851,1.111,0.631,0.481,0.171,0.111,5.311
81,Senegal,0.761,1.101,0.651,0.491,0.201,0.111,5.291
82,Uganda,0.651,1.091,0.601,0.481,0.241,0.101,5.271
83,Algeria,1.171,1.171,0.811,0.411,0.081,0.121,5.251
84,Jordan,1.071,1.151,0.811,0.451,0.091,0.141,5.231
85,Turkey,1.461,1.231,0.891,0.401,0.071,0.161,5.211
86,Egypt,1.011,1.161,0.801,0.421,0.081,0.121,5.191
87,Mauritius,1.321,1.201,0.851,0.531,0.141,0.261,5.171
88,South Africa,1.161,1.151,0.701,0.441,0.131,0.141,5.151
89,Tunisia,1.011,1.141,0.811,0.411,0.071,0.121,5.131
90,Libya,1.121,1.161,0.791,0.381,0.061,0.091,5.111
91,Iraq,1.121,1.171,0.791,0.381,0.071,0.081,5.091
92,Palestinian Territories,0.791,1.121,0.741,0.371,0.081,0.071,5.071
93,Lebanon,0.681,0.941,0.791,0.271,0.091,0.051,3.701
94,Mozambique,0.371,0.961,0.501,0.441,0.211,0.081,4.971
95,Mali,0.471,0.951,0.471,0.431,0.191,0.071,4.951
96,Burkina Faso,0.391,0.941,0.451,0.421,0.181,0.061,4.931
97,Zambia,0.551,0.961,0.521,0.451,0.201,0.071,4.911
98,Malawi,0.291,0.951,0.481,0.441,0.261,0.061,4.891
99,Chad,0.381,0.821,0.371,0.331,0.171,0.051,4.151
100,Ethiopia,0.491,0.891,0.511,0.391,0.221,0.061,4.131
101,Niger,0.251,0.811,0.371,0.371,0.181,0.051,4.111
102,Madagascar,0.311,0.841,0.491,0.381,0.211,0.051,4.091
103,Guinea,0.431,0.831,0.451,0.361,0.171,0.041,4.071
104,Liberia,0.291,0.841,0.441,0.391,0.221,0.051,4.051
105,Togo,0.391,0.821,0.451,0.371,0.181,0.041,4.031
106,Comoros,0.411,0.831,0.551,0.381,0.191,0.041,4.011
107,Benin,0.471,0.841,0.491,0.391,0.201,0.051,3.991
108,Gabon,1.151,0.921,0.621,0.371,0.101,0.071,3.971
109,Cameroon,0.651,0.861,0.511,0.361,0.151,0.041,3.951
110,Botswana,1.081,0.941,0.591,0.411,0.121,0.091,3.931
111,Rwanda,0.541,0.921,0.581,0.521,0.261,0.191,3.911
112,Zimbabwe,0.491,0.881,0.521,0.381,0.131,0.051,3.891
113,Tanzania,0.531,0.891,0.531,0.441,0.261,0.081,3.871
114,Eswatini,0.891,0.871,0.421,0.361,0.111,0.061,3.851
115,Congo,0.671,0.861,0.461,0.351,0.131,0.041,3.831
116,Sudan,0.491,0.841,0.511,0.301,0.141,0.031,3.811
117,Namibia,0.981,0.911,0.561,0.411,0.141,0.091,3.791
118,Mauritania,0.671,0.861,0.561,0.381,0.141,0.051,3.771
119,Angola,0.851,0.861,0.481,0.351,0.101,0.041,3.751
120,Somalia,0.201,0.771,0.381,0.301,0.151,0.021,3.731
121,Guinea-Bissau,0.291,0.791,0.421,0.321,0.141,0.031,3.711
122,Yemen,0.411,0.831,0.571,0.241,0.091,0.031,3.541
123,Haiti,0.361,0.801,0.571,0.261,0.131,0.021,3.521
124,Lesotho,0.541,0.791,0.341,0.361,0.101,0.031,3.501
125,Burundi,0.191,0.771,0.451,0.301,0.191,0.021,3.481
126,DR Congo,0.281,0.781,0.411,0.311,0.171,0.021,3.461
127,Central African Republic,0.171,0.691,0.341,0.261,0.131,0.011,3.441
128,South Sudan,0.361,0.691,0.341,0.221,0.171,0.011,3.421
129,Sierra Leone,0.351,0.741,0.371,0.311,0.201,0.021,3.401
130,Mozambique,0.261,0.721,0.381,0.291,0.181,0.011,3.381
131,Zambia,0.411,0.731,0.421,0.301,0.191,0.021,3.361
132,Mali,0.341,0.711,0.391,0.281,0.161,0.011,3.341
133,Niger,0.181,0.701,0.361,0.271,0.171,0.011,3.321
134,Chad,0.271,0.691,0.331,0.251,0.151,0.011,3.301
135,Malawi,0.201,0.681,0.371,0.261,0.231,0.011,3.281
136,Burkina Faso,0.271,0.671,0.341,0.241,0.141,0.011,3.261
137,Liberia,0.181,0.661,0.321,0.231,0.171,0.011,3.241
138,Togo,0.271,0.651,0.321,0.221,0.141,0.011,3.221
139,Guinea,0.311,0.641,0.311,0.211,0.131,0.011,3.201
140,Haiti,0.241,0.631,0.351,0.201,0.101,0.011,3.181
141,Yemen,0.291,0.611,0.421,0.181,0.071,0.011,2.891
142,Lebanon,0.491,0.691,0.691,0.191,0.071,0.021,2.707
143,Zimbabwe,0.341,0.621,0.381,0.211,0.091,0.011,2.811
144,Congo DR,0.191,0.601,0.311,0.201,0.141,0.011,2.761
145,South Sudan,0.251,0.581,0.251,0.181,0.131,0.011,2.711
146,Rwanda,0.391,0.701,0.431,0.381,0.201,0.141,2.661
147,Afghanistan,0.241,0.341,0.361,0.071,0.071,0.011,1.446
